,Node,LCC
0,13854,1.0
1,11788,1.0
2,20697,1.0
3,20696,1.0
4,2776,1.0
5,2775,1.0
6,20693,1.0
7,20692,1.0
8,20691,1.0
9,2767,1.0
10,20687,1.0
11,2764,1.0
12,1966,1.0
13,1968,1.0
14,6462,1.0
15,6467,1.0
16,22309,1.0
17,1971,1.0
18,6482,1.0
19,2760,1.0
20,6490,1.0
21,1975,1.0
22,2755,1.0
23,6492,1.0
24,3756,1.0
25,2750,1.0
26,5394,1.0
27,1982,1.0
28,3759,1.0
29,2747,1.0
30,1985,1.0
31,2783,1.0
32,21971,1.0
33,10202,1.0
34,15065,1.0
35,22006,1.0
36,22005,1.0
37,10221,1.0
38,22001,1.0
39,12531,1.0
40,10914,1.0
41,22277,1.0
42,2807,1.0
43,21994,1.0
44,21993,1.0
45,10217,1.0
46,21991,1.0
47,22284,1.0
48,21990,1.0
49,10203,1.0
50,2803,1.0
51,10207,1.0
52,20703,1.0
53,21985,1.0
54,21984,1.0
55,2798,1.0
56,5460,1.0
57,5457,1.0
58,21979,1.0
59,21978,1.0
60,21977,1.0
61,18453,1.0
62,2793,1.0
63,1987,1.0
64,10164,1.0
65,3761,1.0
66,11780,1.0
67,8864,1.0
68,2739,1.0
69,3805,1.0
70,3811,1.0
71,2009,1.0
72,6656,1.0
73,8867,1.0
74,8870,1.0
75,10950,1.0
76,2734,1.0
77,6664,1.0
78,3812,1.0
79,2733,1.0
80,2730,1.0
81,3803,1.0
82,12618,1.0
83,2018,1.0
84,12619,1.0
85,12620,1.0
86,2727,1.0
87,2725,1.0
88,10955,1.0
89,12625,1.0
90,11553,1.0
91,12627,1.0
92,11783,1.0
93,2031,1.0
94,3821,1.0
95,6650,1.0
96,19314,1.0
97,3762,1.0
98,3789,1.0
99,1991,1.0
100,3767,1.0
101,7893,1.0
102,7888,1.0
103,7887,1.0
104,3770,1.0
105,7884,1.0
106,1996,1.0
107,3777,1.0
108,2743,1.0
109,3780,1.0
110,3786,1.0
111,2001,1.0
112,3792,1.0
113,12944,1.0
114,3793,1.0
115,3795,1.0
116,3796,1.0
117,3797,1.0
118,6633,1.0
119,6636,1.0
120,8862,1.0
121,19312,1.0
122,6639,1.0
123,6640,1.0
124,19313,1.0
125,3801,1.0
126,2007,1.0
127,22007,1.0
128,10224,1.0
129,16391,1.0
130,10604,1.0
131,12389,1.0
132,16781,1.0
133,13832,1.0
134,13116,1.0
135,16779,1.0
136,10616,1.0
137,10615,1.0
138,10614,1.0
139,10611,1.0
140,16714,1.0
141,13062,1.0
142,8400,1.0
143,10609,1.0
144,10602,1.0
145,6130,1.0
146,8415,1.0
147,5891,1.0
148,16670,1.0
149,10594,1.0
150,13053,1.0
151,12366,1.0
152,8439,1.0
153,12361,1.0
154,5840,1.0
155,10590,1.0
156,5839,1.0
157,11611,1.0
158,13137,1.0
159,13838,1.0
160,13839,1.0
161,10581,1.0
162,13859,1.0
163,12399,1.0
164,13849,1.0
165,12397,1.0
166,13843,1.0
167,13842,1.0
168,8247,1.0
169,6089,1.0
170,6091,1.0
171,6092,1.0
172,6093,1.0
173,6094,1.0
174,6095,1.0
175,13092,1.0
176,6097,1.0
177,8289,1.0
178,6099,1.0
179,8276,1.0
180,6100,1.0
181,6102,1.0
182,6103,1.0
183,6104,1.0
184,6105,1.0
185,6108,1.0
186,8279,1.0
187,6109,1.0
188,6110,1.0
189,8283,1.0
190,8285,1.0
191,10589,1.0
192,12465,1.0
193,22011,1.0
194,14951,1.0
195,14934,1.0
196,22036,1.0
197,12499,1.0
198,3541,1.0
199,22034,1.0
200,14948,1.0
201,14950,1.0
202,22028,1.0
203,3550,1.0
204,22026,1.0
205,22025,1.0
206,12508,1.0
207,12509,1.0
208,22024,1.0
209,20854,1.0
210,22021,1.0
211,14952,1.0
212,12514,1.0
213,14957,1.0
214,15021,1.0
215,15028,1.0
216,15037,1.0
217,19147,1.0
218,12521,1.0
219,10227,1.0
220,15052,1.0
221,22012,1.0
222,19150,1.0
223,22037,1.0
224,22041,1.0
225,1657,1.0
226,10364,1.0
227,21034,1.0
228,3389,1.0
229,3392,1.0
230,3400,1.0
231,12471,1.0
232,6188,1.0
233,13149,1.0
234,6189,1.0
235,10371,1.0
236,12476,1.0
237,10367,1.0
238,12478,1.0
239,12479,1.0
240,10363,1.0
241,22042,1.0
242,1630,1.0
243,10357,1.0
244,20866,1.0
245,20865,1.0
246,20864,1.0
247,20863,1.0
