,betweenness_centrality,vertex
0,0.078441342,2677
1,0.047118897,36
2,0.046647325,11824
3,0.045140301,537
4,0.043461556,897
5,0.041963345,380
6,0.036039204,7746
7,0.03027153,37
8,0.030170304,2679
9,0.029158091,4317
10,0.028946039,10004
11,0.026780663,1962
12,0.02509368,556
13,0.024766399,16455
14,0.023962566,22790
15,0.023899402,14113
16,0.023849697,905
17,0.023750631,789
18,0.023276819,5564
19,0.023208437,14613
20,0.023070111,3283
21,0.022987182,22634
22,0.022985735,1368
23,0.02267334,17891
24,0.022595721,7045
25,0.022292321,4481
26,0.022201337,439
27,0.021706778,6968
28,0.021640684,21478
29,0.020816798,19823
30,0.01986124,672
31,0.019818904,7383
32,0.018981688,17202
33,0.018787601,18478
34,0.018641846,6148
35,0.01863766,2443
36,0.018386549,1724
37,0.017986284,13616
38,0.017650045,3265
39,0.017528186,6117
40,0.017462159,892
41,0.01713285,14957
42,0.016783223,531
43,0.016278398,401
44,0.01603966,934
45,0.01603963,990
46,0.01602229,667
47,0.015965076,9110
48,0.015687806,1310
49,0.015672913,2292
50,0.015598078,6058
51,0.015334247,3086
52,0.01526532,20284
53,0.015137908,1373
54,0.015011141,12638
55,0.014865808,19316
56,0.014778704,1696
57,0.014731029,2461
58,0.014562374,6021
59,0.0143818,184
60,0.014138507,12520
61,0.01408465,18917
62,0.01407687,844
63,0.013717836,11966
64,0.013663424,10619
65,0.013568377,19706
66,0.013515042,8033
67,0.013399538,5810
68,0.013347088,613
69,0.013096775,621
70,0.013093996,8532
71,0.012894021,14494
72,0.012832821,4384
73,0.012653869,2639
74,0.012649759,20756
75,0.012622308,4966
76,0.012607938,253
77,0.012272745,4198
78,0.012139786,7102
79,0.012115681,983
80,0.012110213,2503
81,0.012099356,5590
82,0.011997948,3177
83,0.011901174,825
84,0.011746147,4540
85,0.011570648,1971
86,0.011518393,10166
87,0.011506054,18185
88,0.011432618,16945
89,0.011274887,1228
90,0.011174924,13257
91,0.011085015,1
92,0.011065407,9813
93,0.011029674,2030
94,0.010910865,1895
95,0.010727808,6243
96,0.010296519,245
97,0.010238509,10474
98,0.010234357,669
99,0.010151753,4125
100,0.010133782,6893
101,0.01007961,1996
102,0.010064734,232
103,0.010060937,454
104,0.010025034,104
105,0.010010769,2251
106,0.010001952,6099
107,0.009976124,23024
108,0.00996028,8367
109,0.009941551,15100
110,0.009921968,3258
111,0.009793187,17419
112,0.009637006,11384
113,0.00950465,10230
114,0.009416035,12679
115,0.009368421,6859
116,0.009244736,11525
117,0.009156175,18745
118,0.009122804,1899
119,0.009054628,3985
120,0.009037439,2598
121,0.008979638,14929
122,0.008958365,1020
123,0.008893039,3420
124,0.008815857,1238
125,0.008814535,1369
126,0.008784954,2141
127,0.00876212,269
128,0.008746033,2495
129,0.008729004,4817
130,0.008719125,5368
131,0.008665265,14278
132,0.008629659,19787
133,0.008517936,6841
134,0.0084489,14573
135,0.008418435,4111
136,0.00833186,11822
137,0.008318108,13306
138,0.008261825,1706
139,0.008240381,14414
140,0.008177285,4171
141,0.008147889,2658
142,0.008129631,3920
143,0.008084695,1799
144,0.008025467,8117
145,0.00780599,2171
146,0.007789955,20906
147,0.00778722,3289
148,0.007773561,2710
149,0.007761496,1243
150,0.007733093,9388
151,0.007725591,3632
152,0.007724931,2473
153,0.007668045,9365
154,0.00758664,8968
155,0.007512687,2871
156,0.00748698,9262
157,0.007460296,1287
158,0.007438407,8377
159,0.007429264,7723
160,0.007390227,15092
161,0.007372145,1747
162,0.007364034,4811
163,0.007346312,12025
164,0.007338109,12245
165,0.007282885,22872
166,0.007232676,10632
167,0.007189636,13492
168,0.007168557,5380
169,0.007166704,22184
170,0.007144316,22319
171,0.007115428,1134
172,0.00710904,5077
173,0.007081834,17137
174,0.007079736,5650
175,0.007075915,9219
176,0.006981188,1301
177,0.006915599,3213
178,0.006912614,14954
179,0.006862346,5784
180,0.006838724,4732
181,0.006804608,762
182,0.006730166,10790
183,0.006619285,19550
184,0.006611478,9606
185,0.00661071,10857
186,0.006592302,2385
187,0.006524113,12160
188,0.006391666,1700
189,0.006358735,562
190,0.006286934,12530
191,0.006265575,8598
192,0.006261062,13702
193,0.006246256,4001
194,0.006241408,22746
195,0.006192018,14660
196,0.006153234,2934
197,0.006142187,12640
198,0.006074667,18
199,0.006037303,12925
200,0.006019528,18845
201,0.005991569,5289
202,0.005971816,7440
203,0.005961124,18333
204,0.005958573,7919
205,0.005932811,14021
206,0.005930814,3571
207,0.005886823,21919
208,0.005886465,42
209,0.005883988,3657
210,0.005876302,13036
211,0.005862857,4348
212,0.005862722,70
213,0.005848778,10405
214,0.005838991,11281
215,0.005838601,8242
216,0.005837998,12276
217,0.005813866,9568
218,0.005806921,7410
219,0.0057721,34
220,0.005770859,480
221,0.005770042,10877
222,0.005701092,1362
223,0.005673184,4869
224,0.005665098,15681
225,0.005651852,6163
226,0.005628198,8340
227,0.005619892,6880
228,0.005616565,981
229,0.005614267,7886
230,0.005602283,10373
231,0.005585613,13471
232,0.005550334,21325
233,0.005518866,20499
234,0.005417826,2311
235,0.005380441,20870
236,0.005380118,982
237,0.005377615,1179
238,0.005324025,5908
239,0.005270511,22672
240,0.005269949,19269
241,0.005174751,3826
242,0.005174463,11217
243,0.005144726,5161
244,0.005125024,1715
245,0.00511356,10982
246,0.005107879,6997
247,0.005097297,4337
248,0.005069184,3230
249,0.005045086,3902
250,0.00503458,10117
251,0.005019723,7638
252,0.005000308,20947
253,0.004989999,5717
254,0.004948172,2406
255,0.004911979,6869
256,0.004901602,22430
257,0.004878661,5563
258,0.004875688,12018
259,0.004855706,6275
260,0.004816933,5208
261,0.004805718,8275
262,0.004787956,6260
