,katz_centrality,vertex
0,0.146959546,11824
1,0.140656071,7746
2,0.137203465,380
3,0.131974558,2598
4,0.118441513,14113
5,0.113082779,14613
6,0.11272282,2677
7,0.110535233,21478
8,0.103559444,4317
9,0.102144425,2679
10,0.101904566,4481
11,0.097082957,19316
12,0.096991426,7102
13,0.096661667,18917
14,0.095118486,17202
15,0.094997015,905
16,0.094069546,18185
17,0.094013044,4384
18,0.091918769,4540
19,0.088532667,825
20,0.088478469,10004
21,0.087269197,2871
22,0.086387067,5380
23,0.083386003,401
24,0.082584586,19823
25,0.080689379,18745
26,0.08038722,2251
27,0.078540463,1996
28,0.078223227,12679
29,0.078160085,2141
30,0.077439229,667
31,0.076653136,22790
32,0.076241266,2443
33,0.075454419,18478
34,0.07502413,8033
35,0.07350069,12025
36,0.073125193,1696
37,0.072624848,16455
38,0.07193578,3985
39,0.071582432,15092
40,0.069869459,4198
41,0.069120501,11822
42,0.069082273,9813
43,0.06877715,6163
44,0.068747747,1368
45,0.067793165,537
46,0.067743559,3420
47,0.067527245,8367
48,0.067473923,23024
49,0.067433482,17891
50,0.066677,2639
51,0.065953386,6117
52,0.065532902,6859
53,0.064231702,4892
54,0.063716455,13616
55,0.063394031,10474
56,0.063366785,13702
57,0.063335514,5368
58,0.063218255,2503
59,0.063030688,7886
60,0.062809651,2646
61,0.061727099,7045
62,0.061333766,10877
63,0.060979718,983
64,0.059968053,7331
65,0.05918907,1799
66,0.059173005,8825
67,0.059170482,3289
68,0.05859674,4811
69,0.058236927,232
70,0.058130387,20756
71,0.058087123,8968
72,0.057941009,22746
73,0.05792546,6099
74,0.057897307,5810
75,0.057869182,9365
76,0.057436252,10373
77,0.056666682,22184
78,0.05648611,6968
79,0.055534296,8237
80,0.055450542,5590
81,0.054911674,4966
82,0.054704112,20870
83,0.053792602,2717
84,0.053623919,1228
85,0.053620413,17419
86,0.053560008,19550
87,0.053145245,792
88,0.052986392,22046
89,0.052777465,1971
90,0.052608492,10790
91,0.052063461,19706
92,0.051990975,3772
93,0.051901094,9262
94,0.051884539,14278
95,0.051774546,3010
96,0.05138019,10857
97,0.051076436,934
98,0.050943486,10405
99,0.050816966,843
100,0.050811661,12638
101,0.050591441,4111
102,0.050385258,16945
103,0.049909982,8477
104,0.049648503,18845
105,0.049498564,1895
106,0.049498145,990
107,0.049365821,3086
108,0.048829392,9110
109,0.048676202,2461
110,0.048356904,6624
111,0.048316766,8598
112,0.047965464,13492
113,0.047743577,22634
114,0.047647529,36
115,0.047525623,1962
116,0.047425964,21197
117,0.047376721,2385
118,0.046850002,6893
119,0.04677118,3230
120,0.046419439,1271
121,0.046418766,20499
122,0.046332568,15681
123,0.046331607,13036
124,0.04534659,897
125,0.045274936,22872
126,0.045197576,2501
127,0.044764326,19269
128,0.044601934,844
129,0.044513082,3265
130,0.044485225,2311
131,0.044447519,20122
132,0.043838049,7723
133,0.043566567,7609
134,0.043485826,7410
135,0.043395729,2934
136,0.043320209,7638
137,0.043179461,14957
138,0.04289622,3826
139,0.042335932,22672
140,0.042222834,6770
141,0.04220504,15761
142,0.04207738,21325
143,0.041850527,20906
144,0.041684399,3779
145,0.041660182,17137
146,0.041492099,8532
147,0.041190666,11281
148,0.041120766,12530
149,0.04094936,12502
150,0.040795692,5908
151,0.040499289,4582
152,0.040084688,1238
153,0.040049832,6021
154,0.040007082,8242
155,0.039827559,1373
156,0.039464043,6275
157,0.03934203,10917
158,0.038372815,10166
159,0.038370822,22430
160,0.038358389,5717
161,0.038232376,18421
162,0.038139655,3571
163,0.038024782,1
164,0.037944309,34
165,0.037762461,6318
166,0.037687193,13257
167,0.037482377,14494
168,0.037341543,2636
169,0.037266953,1179
170,0.037258341,3657
171,0.037122488,3266
172,0.037023283,14929
173,0.036964578,13306
174,0.036912348,10619
175,0.036692028,1134
176,0.036465932,37
177,0.036294616,9633
178,0.036284125,2040
179,0.036283763,14414
180,0.036270416,19034
181,0.036132232,927
182,0.036080711,22319
183,0.036024808,2820
184,0.036018796,13471
185,0.035988359,20284
186,0.035948574,14390
187,0.035732441,3213
188,0.035604912,14483
189,0.035432187,14954
190,0.035382484,9933
191,0.034982102,10375
192,0.034928456,326
193,0.034896575,543
194,0.034877397,1189
195,0.034841176,5276
196,0.03483596,20947
197,0.03473925,16853
198,0.034729888,16538
199,0.034711127,1535
200,0.034649292,12640
201,0.034521897,12395
202,0.034500265,15244
203,0.034472123,1747
204,0.034291664,42
205,0.034279702,11384
206,0.034269664,2536
207,0.034146036,23233
208,0.034132517,2658
209,0.03411627,12501
210,0.034002552,1838
211,0.033932084,43
212,0.033835458,4732
213,0.033723128,9219
214,0.033690295,18333
215,0.033640903,14833
216,0.033432963,21919
217,0.033215625,12160
218,0.033119408,12276
219,0.033119153,12520
220,0.032989344,35
221,0.032390956,10154
222,0.032382476,14573
223,0.032377924,3159
