,Node,pagerank_centrality
0,35,0.00018945199966376175
1,34,0.00016927908485238439
2,23,0.00016689470585215716
3,36,0.00014983392110418973
4,7724,0.00010211558120077042
5,1306,9.847699919598151e-05
6,536,9.705699171982598e-05
7,3677,9.418538527794325e-05
8,1325,9.374532299213577e-05
9,801,9.271768647799997e-05
10,1389,8.934264375652464e-05
11,3919,8.906950858669542e-05
12,4,8.640879037292403e-05
13,2126,8.559516115650293e-05
14,4389,8.395505684263693e-05
15,1305,8.38317347573024e-05
16,1048,8.321261079188266e-05
17,4433,8.307126478882634e-05
18,6839,8.218560481709876e-05
19,14533,8.216989547994331e-05
20,12973,7.907294153571814e-05
21,23022,7.869580206196923e-05
22,9460,7.863904957797312e-05
23,62,7.831046546274943e-05
24,1242,7.809940052303288e-05
25,4105,7.783917458838151e-05
26,16957,7.768544769177551e-05
27,20966,7.754149640035825e-05
28,9201,7.68917071252316e-05
29,15207,7.667614774344099e-05
30,18644,7.659349924514489e-05
31,11018,7.643078501412448e-05
32,1625,7.643078501412448e-05
33,15209,7.643078501412448e-05
34,6397,7.643078501412448e-05
35,898,7.643078501412448e-05
36,22629,7.643078501412448e-05
37,16061,7.643078501412448e-05
38,8153,7.643078501412448e-05
39,2118,7.643078501412448e-05
40,23311,7.643078501412448e-05
41,1367,7.558960382950986e-05
42,555,7.488406424117427e-05
43,155,7.48168758888782e-05
44,981,7.385191266565767e-05
45,1324,7.368993062789208e-05
46,138,7.28687889573647e-05
47,73,7.280556420544604e-05
48,64,7.190913910617796e-05
49,273,7.183253297648952e-05
50,1898,7.182729513889541e-05
51,288,7.1702653697875e-05
52,10946,7.136115704701727e-05
53,1967,7.087932650799162e-05
54,980,6.923040550899376e-05
55,4506,6.868941107936044e-05
56,183,6.7869521141199e-05
57,4549,6.683362072746014e-05
58,15478,6.658888212935801e-05
59,15477,6.658888212935801e-05
60,1970,6.641236956852365e-05
61,244,6.587370616670067e-05
62,896,6.562043316731136e-05
63,6174,6.548826573549498e-05
64,11553,6.496679967260273e-05
65,7579,6.480888158325363e-05
66,541,6.46918985228295e-05
67,12612,6.458396239971204e-05
68,68,6.452999657945583e-05
69,6989,6.432163763034584e-05
70,2521,6.419764568388725e-05
71,542,6.343807293754085e-05
72,988,6.340178392757726e-05
73,530,6.337466284056093e-05
74,5239,6.330488881123879e-05
75,4633,6.321284262808505e-05
76,5563,6.314005405122092e-05
77,74,6.305702385502104e-05
78,47,6.304546237845794e-05
79,3188,6.280839180540938e-05
80,1217,6.261773672215286e-05
81,2506,6.184060047900509e-05
82,3169,6.18099438573724e-05
83,191,6.179305377486238e-05
84,192,6.179305377486238e-05
85,190,6.179305377486238e-05
86,1661,6.170673449598828e-05
87,575,6.044033515426674e-05
88,4634,6.044000818766434e-05
89,153,6.036826550709939e-05
90,1372,6.0049232165189573e-05
91,3211,5.998072271230305e-05
92,4277,5.9961453029990635e-05
93,1133,5.994342158625371e-05
94,17758,5.9919451977937736e-05
95,804,5.9892557252104285e-05
96,7714,5.9787483313796166e-05
97,791,5.9786514932560404e-05
98,143,5.9663922990779416e-05
99,1723,5.952948299487475e-05
100,19994,5.9321748500701256e-05
101,2479,5.929584041065041e-05
102,4104,5.927594885730046e-05
103,4103,5.927594885730046e-05
104,5561,5.927163449482755e-05
105,668,5.921109961042907e-05
106,2170,5.919637378914902e-05
107,3885,5.9084448697389606e-05
108,69,5.898603925163772e-05
109,761,5.8937156564320836e-05
110,6868,5.888138050676221e-05
111,20448,5.886550752700997e-05
112,19993,5.886550752700997e-05
113,15379,5.886550752700997e-05
114,20447,5.886550752700997e-05
115,7695,5.886550752700997e-05
116,7696,5.886550752700997e-05
117,16954,5.886550752700997e-05
118,16955,5.886550752700997e-05
119,22093,5.886550752700997e-05
120,22092,5.886550752700997e-05
121,19185,5.886550752700997e-05
122,15378,5.886550752700997e-05
123,14358,5.8807032284460906e-05
124,1272,5.86334382019858e-05
125,2633,5.85918101387008e-05
126,561,5.828322905826828e-05
127,6440,5.8248226201496955e-05
128,891,5.8154960067721665e-05
129,1109,5.7991736215287885e-05
130,4124,5.790869220487599e-05
131,1297,5.772471112463006e-05
132,1525,5.770456503750981e-05
133,2517,5.770333047856216e-05
134,3206,5.770136702964084e-05
135,7726,5.769822191991207e-05
136,71,5.7665952777930904e-05
137,2138,5.759378701817813e-05
138,17,5.7582802992888096e-05
139,550,5.749174725838935e-05
140,10968,5.72971760618842e-05
141,589,5.7296618304949587e-05
142,537,5.723655842516297e-05
143,2128,5.714895459046838e-05
144,2478,5.6988085932873424e-05
145,77,5.6979639266269516e-05
146,3282,5.6950665876175435e-05
147,538,5.692059307565051e-05
148,15,5.684513552401171e-05
149,1237,5.682835120591785e-05
150,252,5.676294969555243e-05
151,662,5.6609737501311756e-05
152,2763,5.6473104806114335e-05
153,14541,5.633975266994679e-05
154,664,5.6278278525317995e-05
155,1404,5.621532633640362e-05
156,438,5.6151255925201026e-05
157,1940,5.612945989564674e-05
158,2543,5.6119476371308444e-05
159,4451,5.606420092862108e-05
160,1114,5.60406836515365e-05
161,7718,5.598282385207144e-05
162,1247,5.595534294050533e-05
163,22176,5.5879641751498186e-05
164,11549,5.5879641751498186e-05
165,3565,5.571276430189284e-05
166,3563,5.571276430189284e-05
167,7571,5.5631804643646644e-05
168,842,5.5605361361462604e-05
169,11818,5.5569676686157896e-05
170,66,5.546620500590959e-05
171,12026,5.538083824609071e-05
172,5384,5.537379895856978e-05
173,14540,5.536390392066265e-05
174,14543,5.535750280345233e-05
175,7722,5.5316859077147944e-05
176,2626,5.530722522945673e-05
177,1403,5.513672287488965e-05
178,8851,5.5129628623718435e-05
179,8593,5.505922977346671e-05
180,12077,5.4988757668290686e-05
181,1663,5.490683725593852e-05
182,1705,5.48393185383097e-05
183,1252,5.4776040697370325e-05
184,4280,5.475119971577183e-05
185,7608,5.4706035967494304e-05
186,4869,5.469297732006301e-05
187,4867,5.469297732006301e-05
188,1134,5.464695362812922e-05
189,3092,5.461599274233191e-05
190,2404,5.457316082014298e-05
191,7719,5.454809788298823e-05
192,2704,5.446862024872861e-05
193,1385,5.444908775155855e-05
194,2513,5.441030764760887e-05
195,7725,5.4404019911537076e-05
196,1662,5.4361743696198506e-05
197,1660,5.4361743696198506e-05
198,544,5.4353533695731095e-05
199,1368,5.4244880081617505e-05
200,18570,5.42130402620947e-05
201,18569,5.42130402620947e-05
202,0,5.421089211580389e-05
203,30,5.415916828928439e-05
204,776,5.4113595270070034e-05
205,147,5.4097943683206204e-05
206,19785,5.40806028442458e-05
207,1522,5.407030826241753e-05
208,150,5.40664172030403e-05
209,1270,5.4038738896834235e-05
210,21243,5.402206731950625e-05
211,1087,5.39723972092604e-05
212,1394,5.3898336443829175e-05
213,157,5.389035481618062e-05
214,545,5.381612712237572e-05
215,547,5.381612712237572e-05
216,2636,5.3805513272281344e-05
217,5562,5.3733218242666223e-05
218,6686,5.369725319582949e-05
219,2502,5.367648167692025e-05
220,3175,5.364936809571432e-05
221,7720,5.3647314422110564e-05
222,148,5.3614529632843894e-05
223,15085,5.3613818609258115e-05
224,9176,5.359856226131712e-05
225,7715,5.3544958048356963e-05
226,3934,5.349748650356967e-05
227,80,5.348058950877586e-05
228,11370,5.3440640569531036e-05
229,11368,5.3440640569531036e-05
230,11369,5.3440640569531036e-05
231,11371,5.3440640569531036e-05
232,6990,5.3421312711912885e-05
233,711,5.3416454078576895e-05
234,3037,5.3409158317202714e-05
235,4868,5.340042019371817e-05
236,2461,5.3382470842507756e-05
237,861,5.3372629254067984e-05
238,9637,5.335495216590995e-05
239,11274,5.3337239710558296e-05
240,156,5.333552652712861e-05
241,3930,5.3310149286241995e-05
242,19031,5.330485030648495e-05
243,19032,5.330485030648495e-05
244,4281,5.3299651412549464e-05
245,788,5.3290942724130706e-05
246,14474,5.329065795637064e-05
247,14475,5.329065795637064e-05
248,14473,5.329065795637064e-05
249,2511,5.32618709316645e-05
250,5227,5.325880010362014e-05
251,6692,5.325548081406782e-05
252,2504,5.322406457260314e-05
253,549,5.321268619381085e-05
254,1135,5.321127769729386e-05
255,1371,5.314781815972238e-05
256,63,5.3127157447631004e-05
257,22726,5.3126204184465735e-05
258,22727,5.3126204184465735e-05
259,671,5.309483823860462e-05
260,540,5.305715590886154e-05
261,620,5.305549147732717e-05
262,19523,5.3010415031305136e-05
263,16374,5.3010415031305136e-05
264,19522,5.3010415031305136e-05
265,8595,5.3010415031305136e-05
266,12833,5.3010415031305136e-05
267,8596,5.3010415031305136e-05
268,21031,5.3010415031305136e-05
269,21030,5.3010415031305136e-05
270,17628,5.3010415031305136e-05
271,21029,5.3010415031305136e-05
272,12831,5.3010415031305136e-05
273,12832,5.3010415031305136e-05
274,9106,5.3010415031305136e-05
275,20031,5.3010415031305136e-05
276,9108,5.3010415031305136e-05
277,9107,5.3010415031305136e-05
278,20032,5.3010415031305136e-05
279,1969,5.297823922934815e-05
280,1269,5.2950000230513545e-05
281,12080,5.2919602115560874e-05
282,8236,5.291012685747311e-05
283,1140,5.2875431850889166e-05
284,4598,5.287373045889977e-05
285,17148,5.286555314583613e-05
286,7994,5.2840188404547594e-05
287,543,5.282330709049533e-05
288,4625,5.2796000916453024e-05
289,665,5.276522302789509e-05
290,663,5.276522302789509e-05
291,6147,5.2659120658295236e-05
292,1129,5.264550584144838e-05
293,4132,5.2621381848534884e-05
294,14542,5.261187119483913e-05
295,11275,5.2589041873551095e-05
296,4626,5.2557358582913666e-05
297,3906,5.2551791734214274e-05
298,1099,5.253849432586699e-05
299,3133,5.251083579318214e-05
300,11280,5.250960748584348e-05
301,7882,5.2481725499817e-05
302,824,5.247288832615101e-05
303,4996,5.2456893868360014e-05
304,551,5.242584986137963e-05
305,330,5.239200655148843e-05
306,12081,5.2370404356092136e-05
307,6869,5.2351668856905145e-05
308,6861,5.2351668856905145e-05
309,1127,5.233555575709102e-05
310,1081,5.231138371533479e-05
311,3208,5.2308634810593606e-05
312,2696,5.228361766412794e-05
313,1126,5.226882782728669e-05
314,1089,5.226507196363407e-05
315,13908,5.215966231154834e-05
316,160,5.208844118091509e-05
317,1019,5.205187116994518e-05
318,4602,5.204857136662184e-05
319,1957,5.202299916004052e-05
320,7075,5.201866887288797e-05
321,2590,5.201781766151181e-05
322,3929,5.2014495187106645e-05
323,355,5.186930661426968e-05
324,6995,5.186875276272668e-05
325,6162,5.186578654614866e-05
326,6660,5.1854708313131694e-05
327,175,5.1812377731837906e-05
328,1287,5.179110270167594e-05
329,2500,5.175507687640542e-05
330,4569,5.1727823133066185e-05
331,1315,5.170628310652849e-05
332,8829,5.1700319592707804e-05
333,26,5.1691526561610846e-05
334,693,5.167624940653869e-05
335,10977,5.1614929934410906e-05
336,1677,5.158880093716125e-05
337,17863,5.154668052085239e-05
338,2762,5.1544099069407734e-05
339,3097,5.153877116174936e-05
340,12927,5.15261751669022e-05
341,3753,5.1507758463532784e-05
342,81,5.149582170513793e-05
343,878,5.149205951463719e-05
344,1401,5.148971735892015e-05
345,1400,5.148971735892015e-05
346,1405,5.143763072502648e-05
347,1136,5.141545402224469e-05
348,1258,5.141111287189428e-05
349,7503,5.140831046779346e-05
350,14168,5.1389423271889725e-05
351,1097,5.135786548445598e-05
352,8872,5.1353630679805575e-05
353,7987,5.131800381918695e-05
354,1085,5.129558223829505e-05
355,5058,5.128100006511849e-05
356,5038,5.128100006511849e-05
357,5033,5.128100006511849e-05
358,1170,5.1241975275444164e-05
359,539,5.1225130084221964e-05
360,1080,5.122074117193772e-05
361,4621,5.1194702705326366e-05
362,22632,5.118700106537704e-05
363,22631,5.118700106537704e-05
364,22630,5.118700106537704e-05
365,12078,5.115018617296196e-05
366,3880,5.110813103492662e-05
367,1174,5.1106403033288155e-05
368,1524,5.108489200135334e-05
369,15649,5.107960089851549e-05
370,15676,5.107960089851549e-05
371,2493,5.107769025867904e-05
372,2754,5.105340599366801e-05
373,10580,5.1045118445552327e-05
374,3122,5.1043922637136185e-05
375,103,5.104060148951801e-05
376,67,5.1018409454398445e-05
377,15529,5.101585727206319e-05
378,3902,5.097829680362115e-05
379,2473,5.097177398015016e-05
380,820,5.0946707066460526e-05
381,7885,5.089271822192123e-05
382,12501,5.081718540013092e-05
383,10,5.081660286359549e-05
384,815,5.078714656778161e-05
385,1406,5.0778371319890906e-05
386,2480,5.0766745542492123e-05
387,6994,5.076056350080405e-05
388,6986,5.076056350080405e-05
389,3679,5.073206577070204e-05
390,12146,5.0729241967104395e-05
391,12145,5.0729241967104395e-05
392,12144,5.0729241967104395e-05
393,12147,5.0729241967104395e-05
394,5654,5.070396280077411e-05
395,1096,5.068693801473262e-05
396,4494,5.0664021707248895e-05
397,136,5.064217983697042e-05
398,10679,5.060982710806615e-05
399,2788,5.060278283684042e-05
400,2709,5.059182908007918e-05
401,12930,5.0584385196783984e-05
402,5037,5.0571441616444274e-05
403,5439,5.053509389846583e-05
404,4502,5.053113448876529e-05
405,3538,5.0525404924343826e-05
406,1312,5.050683218357314e-05
407,546,5.0500196006819995e-05
408,1090,5.045818091492891e-05
409,2462,5.042770792185903e-05
410,6441,5.04250750303921e-05
411,1240,5.041584583207516e-05
412,11552,5.0387387961e-05
413,11551,5.0387387961e-05
414,11550,5.0387387961e-05
415,21274,5.033148323190454e-05
416,21275,5.033148323190454e-05
417,21276,5.033148323190454e-05
418,21277,5.033148323190454e-05
419,1092,5.0310881935529826e-05
420,4475,5.029318198820493e-05
421,2615,5.028693244678383e-05
422,12132,5.027803853330955e-05
423,919,5.026884216918094e-05
424,5484,5.023273393701173e-05
425,1527,5.0227089454859155e-05
426,1521,5.0227089454859155e-05
427,1523,5.0227089454859155e-05
428,5600,5.02182127388301e-05
429,4905,5.0217668179051304e-05
430,7051,5.0208592067399276e-05
431,7918,5.020654422412607e-05
432,82,5.019869240125903e-05
433,12503,5.0196133977297964e-05
434,2403,5.0193639946328404e-05
435,9693,5.018437517596848e-05
436,9694,5.018437517596848e-05
437,9692,5.018437517596848e-05
438,9689,5.018437517596848e-05
439,2622,5.0168314144645144e-05
440,1530,5.0148368156109244e-05
441,1531,5.0148368156109244e-05
442,1532,5.0148368156109244e-05
443,1533,5.0148368156109244e-05
444,12102,5.014679572632034e-05
445,21814,5.0145705579985e-05
446,21817,5.0145705579985e-05
447,21815,5.0145705579985e-05
448,21816,5.0145705579985e-05
449,1393,5.0115787358324424e-05
450,3548,5.0106189058255336e-05
451,6271,5.0082868783452717e-05
452,15635,5.0082868783452717e-05
453,6270,5.0082868783452717e-05
454,193,5.0082868783452717e-05
455,20027,5.0082868783452717e-05
456,20029,5.0082868783452717e-05
457,16690,5.0082868783452717e-05
458,14894,5.0082868783452717e-05
459,20028,5.0082868783452717e-05
460,20026,5.0082868783452717e-05
461,20809,5.0082868783452717e-05
462,12133,5.0082868783452717e-05
463,14895,5.0082868783452717e-05
464,12131,5.0082868783452717e-05
465,12130,5.0082868783452717e-05
466,8939,5.0082868783452717e-05
467,8938,5.0082868783452717e-05
468,7307,5.0082868783452717e-05
469,979,5.0082868783452717e-05
470,7308,5.0082868783452717e-05
471,8940,5.0082868783452717e-05
472,16798,5.0082868783452717e-05
