,betweenness_centrality,vertex
0,0.087414735,160
1,0.037788533,86
2,0.030994687,5
3,0.027880741,82
4,0.027841539,121
5,0.024340312,107
6,0.02356499,13
7,0.023174608,377
8,0.022509845,62
9,0.021923723,64
10,0.019247352,211
11,0.018862937,533
12,0.018568969,84
13,0.017639374,166
14,0.01669767,971
15,0.01541271,434
16,0.01434473,411
17,0.013624939,129
18,0.01247326,65
19,0.012386641,6
20,0.012308915,183
21,0.012253214,333
22,0.012085276,301
23,0.012037209,96
24,0.011596721,21
25,0.011119168,820
26,0.010993497,44
27,0.010178739,249
28,0.010076144,106
29,0.009738106,128
30,0.009647319,420
31,0.00955222,114
32,0.00949964,405
33,0.009044284,546
34,0.00871028,191
35,0.008640863,340
36,0.008362346,87
37,0.008255709,115
38,0.008083388,283
39,0.008044494,295
40,0.007929687,498
41,0.007583177,63
42,0.0073965,232
43,0.007187509,282
44,0.007014956,83
45,0.006918219,58
46,0.00675089,269
47,0.006735012,290
48,0.006711384,209
49,0.006583731,280
50,0.00656972,2
51,0.006476444,414
52,0.006444256,424
53,0.006424132,494
54,0.006263645,285
55,0.006135103,142
56,0.00610345,105
57,0.006069149,231
58,0.006024273,215
59,0.006020948,462
60,0.006012437,560
61,0.006003007,137
62,0.005921484,495
63,0.005880613,393
64,0.005787031,81
65,0.005781468,170
66,0.005720254,258
67,0.005688976,412
68,0.005658987,133
69,0.005586491,252
70,0.005560763,141
71,0.005547474,4
72,0.00550141,165
73,0.005281238,366
74,0.005260409,506
75,0.005244546,493
76,0.005235082,256
77,0.005220689,17
78,0.005189699,157
79,0.005175977,401
80,0.005146032,303
81,0.005132688,180
82,0.005120838,28
83,0.005114328,473
84,0.00497839,189
85,0.004910032,409
86,0.004833968,184
87,0.004820725,443
88,0.004715059,12
89,0.00470154,306
90,0.004560113,329
91,0.004553149,419
92,0.004470614,440
93,0.004400969,74
94,0.004378554,404
95,0.004344901,321
96,0.004274389,353
97,0.004246984,549
